Lesion ID | Total Images | Image IDs
HAM_0002008  | 4            | ISIC_0033379, ISIC_0033438, ISIC_0032983, ISIC_0034024
HAM_0004621  | 4            | ISIC_0025818, ISIC_0030746, ISIC_0028122, ISIC_0027675
HAM_0002042  | 4            | ISIC_0028294, ISIC_0028662, ISIC_0031349, ISIC_0026263
HAM_0007014  | 4            | ISIC_0027498, ISIC_0027798, ISIC_0028141, ISIC_0032310
HAM_0002154  | 4            | ISIC_0030840, ISIC_0028478, ISIC_0027379, ISIC_0027468
HAM_0006469  | 4            | ISIC_0024479, ISIC_0032328, ISIC_0026358, ISIC_0025193
HAM_0000798  | 4            | ISIC_0031064, ISIC_0027538, ISIC_0026751, ISIC_0029332
HAM_0006946  | 4            | ISIC_0032614, ISIC_0033349, ISIC_0032919, ISIC_0032866
HAM_0001781  | 4            | ISIC_0031987, ISIC_0028623, ISIC_0025515, ISIC_0029823
HAM_0000836  | 4            | ISIC_0030061, ISIC_0030960, ISIC_0030311, ISIC_0025505
HAM_0003847  | 4            | ISIC_0030661, ISIC_0027053, ISIC_0028560, ISIC_0031650
HAM_0003106  | 4            | ISIC_0033243, ISIC_0032648, ISIC_0032620, ISIC_0030420
HAM_0003700  | 4            | ISIC_0033300, ISIC_0033616, ISIC_0029606, ISIC_0033099
HAM_0001943  | 4            | ISIC_0025769, ISIC_0032909, ISIC_0033134, ISIC_0034301
HAM_0005496  | 4            | ISIC_0032772, ISIC_0034041, ISIC_0033598, ISIC_0034021
HAM_0003602  | 4            | ISIC_0033980, ISIC_0032533, ISIC_0033986, ISIC_0033004
HAM_0002824  | 4            | ISIC_0034118, ISIC_0033476, ISIC_0033047, ISIC_0025987
HAM_0007558  | 4            | ISIC_0033120, ISIC_0034211, ISIC_0028410, ISIC_0033545
HAM_0000005  | 4            | ISIC_0025577, ISIC_0030591, ISIC_0024579, ISIC_0029638
HAM_0006182  | 3            | ISIC_0033669, ISIC_0033789, ISIC_0033419
HAM_0004996  | 3            | ISIC_0029231, ISIC_0030144, ISIC_0028909
HAM_0001808  | 3            | ISIC_0033318, ISIC_0032615, ISIC_0033862
HAM_0001803  | 3            | ISIC_0031742, ISIC_0026330, ISIC_0031567
HAM_0006560  | 3            | ISIC_0026729, ISIC_0028063, ISIC_0027802
HAM_0003350  | 3            | ISIC_0027300, ISIC_0028512, ISIC_0024310
HAM_0006180  | 3            | ISIC_0026905, ISIC_0027615, ISIC_0028990
HAM_0006191  | 3            | ISIC_0033645, ISIC_0028829, ISIC_0033530
HAM_0003346  | 3            | ISIC_0032995, ISIC_0032754, ISIC_0032714
HAM_0006559  | 3            | ISIC_0034247, ISIC_0033455, ISIC_0034056
HAM_0001349  | 3            | ISIC_0028225, ISIC_0032425, ISIC_0024351
HAM_0001777  | 3            | ISIC_0034084, ISIC_0033273, ISIC_0034176
HAM_0003345  | 3            | ISIC_0032165, ISIC_0024718, ISIC_0024834
HAM_0004979  | 3            | ISIC_0026596, ISIC_0028056, ISIC_0032245
HAM_0003352  | 3            | ISIC_0032599, ISIC_0033472, ISIC_0032667
HAM_0001824  | 3            | ISIC_0033121, ISIC_0034158, ISIC_0033213
HAM_0003566  | 3            | ISIC_0032684, ISIC_0034052, ISIC_0033171
HAM_0004853  | 3            | ISIC_0034101, ISIC_0030333, ISIC_0032695
HAM_0004975  | 3            | ISIC_0033778, ISIC_0032863, ISIC_0034168
HAM_0006225  | 3            | ISIC_0031871, ISIC_0029075, ISIC_0028887
HAM_0004963  | 3            | ISIC_0032785, ISIC_0032563, ISIC_0033071
HAM_0001744  | 3            | ISIC_0031339, ISIC_0032476, ISIC_0029353
HAM_0001358  | 3            | ISIC_0033170, ISIC_0032680, ISIC_0033674
HAM_0003386  | 3            | ISIC_0033416, ISIC_0032662, ISIC_0033452
HAM_0006550  | 3            | ISIC_0033406, ISIC_0033493, ISIC_0033007
HAM_0001740  | 3            | ISIC_0032761, ISIC_0033160, ISIC_0033930
HAM_0003400  | 3            | ISIC_0026167, ISIC_0028984, ISIC_0032197
HAM_0001734  | 3            | ISIC_0033496, ISIC_0032927, ISIC_0024865
HAM_0001733  | 3            | ISIC_0028414, ISIC_0031496, ISIC_0028931
HAM_0001817  | 3            | ISIC_0024938, ISIC_0030065, ISIC_0025231
HAM_0005010  | 3            | ISIC_0033180, ISIC_0033962, ISIC_0033603
HAM_0001321  | 3            | ISIC_0033385, ISIC_0033471, ISIC_0032831
HAM_0001889  | 3            | ISIC_0033621, ISIC_0034116, ISIC_0034073
HAM_0001935  | 3            | ISIC_0033188, ISIC_0033067, ISIC_0032787
HAM_0001930  | 3            | ISIC_0032880, ISIC_0032600, ISIC_0032791
HAM_0001928  | 3            | ISIC_0033725, ISIC_0032537, ISIC_0033287
HAM_0006080  | 3            | ISIC_0033347, ISIC_0032668, ISIC_0032891
HAM_0006085  | 3            | ISIC_0032949, ISIC_0033322, ISIC_0033127
HAM_0005062  | 3            | ISIC_0033211, ISIC_0033617, ISIC_0033889
HAM_0003605  | 3            | ISIC_0026895, ISIC_0029841, ISIC_0029849
HAM_0001309  | 3            | ISIC_0033629, ISIC_0034037, ISIC_0032876
HAM_0003280  | 3            | ISIC_0033275, ISIC_0033938, ISIC_0032841
HAM_0003288  | 3            | ISIC_0032587, ISIC_0033824, ISIC_0033830
HAM_0001905  | 3            | ISIC_0033634, ISIC_0034226, ISIC_0033116
HAM_0003290  | 3            | ISIC_0030757, ISIC_0031358, ISIC_0031735
HAM_0001895  | 3            | ISIC_0029938, ISIC_0024777, ISIC_0029196
HAM_0006121  | 3            | ISIC_0034244, ISIC_0032855, ISIC_0032792
HAM_0001726  | 3            | ISIC_0029281, ISIC_0024367, ISIC_0024700
HAM_0006123  | 3            | ISIC_0025275, ISIC_0026606, ISIC_0025986
HAM_0005040  | 3            | ISIC_0033638, ISIC_0033805, ISIC_0033302
HAM_0003590  | 3            | ISIC_0032459, ISIC_0027262, ISIC_0024916
HAM_0003305  | 3            | ISIC_0027756, ISIC_0032125, ISIC_0025172
HAM_0006572  | 3            | ISIC_0030349, ISIC_0026091, ISIC_0034160
HAM_0001872  | 3            | ISIC_0031290, ISIC_0029188, ISIC_0027800
HAM_0001870  | 3            | ISIC_0033351, ISIC_0033131, ISIC_0033090
HAM_0006147  | 3            | ISIC_0033511, ISIC_0032641, ISIC_0033345
HAM_0006567  | 3            | ISIC_0032649, ISIC_0034109, ISIC_0033439
HAM_0005017  | 3            | ISIC_0027461, ISIC_0025310, ISIC_0026752
HAM_0006158  | 3            | ISIC_0033096, ISIC_0033972, ISIC_0033367
HAM_0006170  | 3            | ISIC_0027969, ISIC_0029557, ISIC_0032123
HAM_0001835  | 3            | ISIC_0029995, ISIC_0027101, ISIC_0026652
HAM_0004949  | 3            | ISIC_0033883, ISIC_0034145, ISIC_0032981
HAM_0003512  | 3            | ISIC_0034300, ISIC_0033155, ISIC_0032609
HAM_0001484  | 3            | ISIC_0033370, ISIC_0033521, ISIC_0032623
HAM_0006442  | 3            | ISIC_0033000, ISIC_0033295, ISIC_0032947
HAM_0003444  | 3            | ISIC_0030249, ISIC_0028687, ISIC_0027120
HAM_0001641  | 3            | ISIC_0033427, ISIC_0033948, ISIC_0033680
HAM_0003535  | 3            | ISIC_0033960, ISIC_0033259, ISIC_0033403
HAM_0006371  | 3            | ISIC_0034135, ISIC_0033626, ISIC_0033780
HAM_0006372  | 3            | ISIC_0033220, ISIC_0032817, ISIC_0032820
HAM_0006376  | 3            | ISIC_0032845, ISIC_0034317, ISIC_0033662
HAM_0001615  | 3            | ISIC_0033348, ISIC_0033048, ISIC_0033870
HAM_0003447  | 3            | ISIC_0033142, ISIC_0032703, ISIC_0033168
HAM_0006380  | 3            | ISIC_0028718, ISIC_0030747, ISIC_0031417
HAM_0001608  | 3            | ISIC_0028792, ISIC_0029406, ISIC_0031980
HAM_0006391  | 3            | ISIC_0032821, ISIC_0032783, ISIC_0034139
HAM_0003480  | 3            | ISIC_0031996, ISIC_0032890, ISIC_0033844
HAM_0004889  | 3            | ISIC_0028511, ISIC_0026714, ISIC_0028473
HAM_0006434  | 3            | ISIC_0028314, ISIC_0028076, ISIC_0030142
HAM_0006445  | 3            | ISIC_0033333, ISIC_0033717, ISIC_0034120
HAM_0006545  | 3            | ISIC_0033241, ISIC_0032598, ISIC_0034289
HAM_0006453  | 3            | ISIC_0029081, ISIC_0025744, ISIC_0030192
HAM_0004882  | 3            | ISIC_0034282, ISIC_0033357, ISIC_0034178
HAM_0003505  | 3            | ISIC_0033032, ISIC_0034227, ISIC_0033563
HAM_0003506  | 3            | ISIC_0033336, ISIC_0033405, ISIC_0034188
HAM_0001525  | 3            | ISIC_0025662, ISIC_0027510, ISIC_0024355
HAM_0006516  | 3            | ISIC_0033423, ISIC_0033846, ISIC_0033315
HAM_0001511  | 3            | ISIC_0034060, ISIC_0033002, ISIC_0033683
HAM_0001509  | 3            | ISIC_0034295, ISIC_0033929, ISIC_0033044
HAM_0001507  | 3            | ISIC_0030179, ISIC_0029215, ISIC_0028362
HAM_0006496  | 3            | ISIC_0033104, ISIC_0032579, ISIC_0033189
HAM_0001506  | 3            | ISIC_0033061, ISIC_0033967, ISIC_0033051
HAM_0006491  | 3            | ISIC_0033657, ISIC_0034038, ISIC_0033070
HAM_0003507  | 3            | ISIC_0032784, ISIC_0033459, ISIC_0032710
HAM_0004878  | 3            | ISIC_0029056, ISIC_0026802, ISIC_0032232
HAM_0003441  | 3            | ISIC_0034069, ISIC_0032673, ISIC_0033684
HAM_0001651  | 3            | ISIC_0033251, ISIC_0033402, ISIC_0034204
HAM_0006520  | 3            | ISIC_0032767, ISIC_0033503, ISIC_0033795
HAM_0003542  | 3            | ISIC_0033506, ISIC_0033600, ISIC_0033714
HAM_0003415  | 3            | ISIC_0029191, ISIC_0027789, ISIC_0028761
HAM_0006541  | 3            | ISIC_0024883, ISIC_0025064, ISIC_0025040
HAM_0001384  | 3            | ISIC_0033397, ISIC_0033414, ISIC_0034113
HAM_0001385  | 3            | ISIC_0033280, ISIC_0033212, ISIC_0033770
HAM_0001715  | 3            | ISIC_0027208, ISIC_0032368, ISIC_0029504
HAM_0004854  | 3            | ISIC_0033777, ISIC_0033078, ISIC_0034055
HAM_0003418  | 3            | ISIC_0033632, ISIC_0034025, ISIC_0033182
HAM_0006539  | 3            | ISIC_0033798, ISIC_0033014, ISIC_0032516
HAM_0004945  | 3            | ISIC_0029358, ISIC_0031766, ISIC_0030258
HAM_0001400  | 3            | ISIC_0033059, ISIC_0033113, ISIC_0033547
HAM_0006295  | 3            | ISIC_0033177, ISIC_0033086, ISIC_0032720
HAM_0006301  | 3            | ISIC_0024771, ISIC_0024468, ISIC_0031823
HAM_0003421  | 3            | ISIC_0033470, ISIC_0034094, ISIC_0033560
HAM_0006321  | 3            | ISIC_0033174, ISIC_0033239, ISIC_0033985
HAM_0006323  | 3            | ISIC_0026805, ISIC_0024680, ISIC_0029465
HAM_0001692  | 3            | ISIC_0033172, ISIC_0033326, ISIC_0032743
HAM_0003259  | 3            | ISIC_0033641, ISIC_0033527, ISIC_0032895
HAM_0001405  | 3            | ISIC_0033033, ISIC_0033390, ISIC_0033836
HAM_0003424  | 3            | ISIC_0033451, ISIC_0033552, ISIC_0034310
HAM_0001683  | 3            | ISIC_0033517, ISIC_0033513, ISIC_0033649
HAM_0006330  | 3            | ISIC_0032976, ISIC_0033274, ISIC_0026745
HAM_0006334  | 3            | ISIC_0032605, ISIC_0032779, ISIC_0033950
HAM_0003430  | 3            | ISIC_0027266, ISIC_0025271, ISIC_0027867
HAM_0004927  | 3            | ISIC_0032921, ISIC_0034117, ISIC_0033415
HAM_0006528  | 3            | ISIC_0034296, ISIC_0032763, ISIC_0034291
HAM_0006353  | 3            | ISIC_0033997, ISIC_0032712, ISIC_0033164
HAM_0003558  | 3            | ISIC_0025303, ISIC_0030129, ISIC_0026989
HAM_0001654  | 3            | ISIC_0024472, ISIC_0031175, ISIC_0030755
HAM_0003556  | 3            | ISIC_0033485, ISIC_0033175, ISIC_0033886
HAM_0001465  | 3            | ISIC_0033209, ISIC_0034074, ISIC_0032699
HAM_0005110  | 3            | ISIC_0025412, ISIC_0025785, ISIC_0028494
HAM_0001948  | 3            | ISIC_0033993, ISIC_0032926, ISIC_0033049
HAM_0002645  | 3            | ISIC_0024587, ISIC_0029666, ISIC_0027698
HAM_0002552  | 3            | ISIC_0032985, ISIC_0032936, ISIC_0033232
HAM_0005636  | 3            | ISIC_0034140, ISIC_0034256, ISIC_0032984
HAM_0005335  | 3            | ISIC_0025627, ISIC_0031580, ISIC_0028389
HAM_0002574  | 3            | ISIC_0032666, ISIC_0033157, ISIC_0032811
HAM_0005617  | 3            | ISIC_0027677, ISIC_0024833, ISIC_0027546
HAM_0002923  | 3            | ISIC_0033759, ISIC_0034144, ISIC_0032992
HAM_0002915  | 3            | ISIC_0034009, ISIC_0034305, ISIC_0034097
HAM_0005608  | 3            | ISIC_0032685, ISIC_0032903, ISIC_0033323
HAM_0005601  | 3            | ISIC_0033541, ISIC_0032670, ISIC_0033441
HAM_0005351  | 3            | ISIC_0032590, ISIC_0033549, ISIC_0033921
HAM_0002909  | 3            | ISIC_0032642, ISIC_0033790, ISIC_0033675
HAM_0002613  | 3            | ISIC_0030925, ISIC_0030604, ISIC_0024958
HAM_0002615  | 3            | ISIC_0033456, ISIC_0033494, ISIC_0033413
HAM_0002617  | 3            | ISIC_0033957, ISIC_0034172, ISIC_0033393
HAM_0002628  | 3            | ISIC_0030852, ISIC_0030652, ISIC_0031204
HAM_0002959  | 3            | ISIC_0027473, ISIC_0025362, ISIC_0027093
HAM_0002534  | 3            | ISIC_0024898, ISIC_0029538, ISIC_0027620
HAM_0002519  | 3            | ISIC_0033148, ISIC_0033109, ISIC_0032986
HAM_0005711  | 3            | ISIC_0033911, ISIC_0033779, ISIC_0032638
HAM_0002430  | 3            | ISIC_0032134, ISIC_0028114, ISIC_0027673
HAM_0002431  | 3            | ISIC_0033294, ISIC_0033030, ISIC_0032657
HAM_0002434  | 3            | ISIC_0033253, ISIC_0033974, ISIC_0033941
HAM_0005721  | 3            | ISIC_0027525, ISIC_0024550, ISIC_0029919
HAM_0002448  | 3            | ISIC_0034122, ISIC_0033281, ISIC_0033285
HAM_0005274  | 3            | ISIC_0033141, ISIC_0033261, ISIC_0032766
HAM_0005280  | 3            | ISIC_0033595, ISIC_0034059, ISIC_0033063
HAM_0005303  | 3            | ISIC_0033240, ISIC_0032782, ISIC_0032522
HAM_0005284  | 3            | ISIC_0029640, ISIC_0029724, ISIC_0027707
HAM_0005299  | 3            | ISIC_0032732, ISIC_0032778, ISIC_0033466
HAM_0002993  | 3            | ISIC_0034104, ISIC_0032547, ISIC_0033644
HAM_0002501  | 3            | ISIC_0033388, ISIC_0033009, ISIC_0032928
HAM_0002502  | 3            | ISIC_0034220, ISIC_0032973, ISIC_0033425
HAM_0005300  | 3            | ISIC_0033767, ISIC_0033755, ISIC_0033625
HAM_0002641  | 3            | ISIC_0034111, ISIC_0032676, ISIC_0034077
HAM_0005573  | 3            | ISIC_0033411, ISIC_0034096, ISIC_0033382
HAM_0005082  | 3            | ISIC_0026843, ISIC_0025699, ISIC_0029617
HAM_0005571  | 3            | ISIC_0033648, ISIC_0032825, ISIC_0032803
HAM_0002722  | 3            | ISIC_0027991, ISIC_0031289, ISIC_0030172
HAM_0005483  | 3            | ISIC_0032965, ISIC_0034242, ISIC_0033117
HAM_0005481  | 3            | ISIC_0029000, ISIC_0025955, ISIC_0030356
HAM_0002841  | 3            | ISIC_0032982, ISIC_0033196, ISIC_0032653
HAM_0005383  | 3            | ISIC_0033832, ISIC_0032893, ISIC_0032683
HAM_0002732  | 3            | ISIC_0034022, ISIC_0033017, ISIC_0033874
HAM_0002750  | 3            | ISIC_0034136, ISIC_0033386, ISIC_0033003
HAM_0005386  | 3            | ISIC_0033973, ISIC_0033761, ISIC_0033505
HAM_0005389  | 3            | ISIC_0031012, ISIC_0029533, ISIC_0024372
HAM_0005459  | 3            | ISIC_0029610, ISIC_0032397, ISIC_0029268
HAM_0005396  | 3            | ISIC_0033720, ISIC_0034255, ISIC_0032834
HAM_0005435  | 3            | ISIC_0024666, ISIC_0028890, ISIC_0025752
HAM_0005433  | 3            | ISIC_0033906, ISIC_0033298, ISIC_0034210
HAM_0005420  | 3            | ISIC_0024740, ISIC_0030649, ISIC_0032043
HAM_0005417  | 3            | ISIC_0027966, ISIC_0024448, ISIC_0032022
HAM_0002721  | 3            | ISIC_0032585, ISIC_0032899, ISIC_0034157
HAM_0005505  | 3            | ISIC_0024450, ISIC_0031743, ISIC_0026522
HAM_0005509  | 3            | ISIC_0032246, ISIC_0026865, ISIC_0031057
HAM_0002671  | 3            | ISIC_0033068, ISIC_0034218, ISIC_0034263
HAM_0005566  | 3            | ISIC_0032608, ISIC_0032746, ISIC_0033266
HAM_0002898  | 3            | ISIC_0033179, ISIC_0034251, ISIC_0033721
HAM_0002661  | 3            | ISIC_0025665, ISIC_0030597, ISIC_0026692
HAM_0002664  | 3            | ISIC_0033666, ISIC_0033218, ISIC_0033054
HAM_0005363  | 3            | ISIC_0033652, ISIC_0033944, ISIC_0032717
HAM_0005364  | 3            | ISIC_0033231, ISIC_0033035, ISIC_0032525
HAM_0002675  | 3            | ISIC_0029641, ISIC_0031014, ISIC_0024969
HAM_0005510  | 3            | ISIC_0029203, ISIC_0028166, ISIC_0026406
HAM_0005539  | 3            | ISIC_0033296, ISIC_0033838, ISIC_0033409
HAM_0005368  | 3            | ISIC_0033074, ISIC_0034087, ISIC_0032722
HAM_0005371  | 3            | ISIC_0027046, ISIC_0031154, ISIC_0028168
HAM_0005374  | 3            | ISIC_0034079, ISIC_0033327, ISIC_0032871
HAM_0002867  | 3            | ISIC_0033084, ISIC_0033550, ISIC_0033536
HAM_0005513  | 3            | ISIC_0033214, ISIC_0033255, ISIC_0033229
HAM_0005265  | 3            | ISIC_0033633, ISIC_0034199, ISIC_0032998
HAM_0005740  | 3            | ISIC_0033558, ISIC_0033590, ISIC_0033303
HAM_0002423  | 3            | ISIC_0031924, ISIC_0028963, ISIC_0025088
HAM_0005264  | 3            | ISIC_0029371, ISIC_0031659, ISIC_0024946
HAM_0005971  | 3            | ISIC_0024452, ISIC_0029539, ISIC_0031258
HAM_0003193  | 3            | ISIC_0032882, ISIC_0034078, ISIC_0032818
HAM_0005135  | 3            | ISIC_0032989, ISIC_0033618, ISIC_0033016
HAM_0005961  | 3            | ISIC_0033988, ISIC_0032859, ISIC_0032795
HAM_0003181  | 3            | ISIC_0033085, ISIC_0033976, ISIC_0034030
HAM_0002136  | 3            | ISIC_0033959, ISIC_0032914, ISIC_0033309
HAM_0005942  | 3            | ISIC_0032679, ISIC_0032529, ISIC_0033119
HAM_0005925  | 3            | ISIC_0026222, ISIC_0031644, ISIC_0027036
HAM_0002170  | 3            | ISIC_0034237, ISIC_0034032, ISIC_0033075
HAM_0005157  | 3            | ISIC_0029340, ISIC_0026286, ISIC_0024880
HAM_0005910  | 3            | ISIC_0028808, ISIC_0026513, ISIC_0027540
HAM_0005162  | 3            | ISIC_0025943, ISIC_0025568, ISIC_0026887
HAM_0005893  | 3            | ISIC_0033432, ISIC_0032833, ISIC_0034236
HAM_0005185  | 3            | ISIC_0033412, ISIC_0033514, ISIC_0033876
HAM_0002208  | 3            | ISIC_0033940, ISIC_0033818, ISIC_0034029
HAM_0005973  | 3            | ISIC_0026940, ISIC_0032429, ISIC_0029951
HAM_0005985  | 3            | ISIC_0030181, ISIC_0027038, ISIC_0032030
HAM_0005989  | 3            | ISIC_0031648, ISIC_0033565, ISIC_0033123
HAM_0006615  | 3            | ISIC_0032780, ISIC_0033849, ISIC_0032861
HAM_0006042  | 3            | ISIC_0034314, ISIC_0034174, ISIC_0033983
HAM_0005083  | 3            | ISIC_0031482, ISIC_0032944, ISIC_0033516
HAM_0006026  | 3            | ISIC_0032804, ISIC_0033924, ISIC_0033531
HAM_0003225  | 3            | ISIC_0033670, ISIC_0029740, ISIC_0033593
HAM_0001994  | 3            | ISIC_0033407, ISIC_0033734, ISIC_0033923
HAM_0002009  | 3            | ISIC_0034290, ISIC_0033165, ISIC_0033430
HAM_0002015  | 3            | ISIC_0033954, ISIC_0033771, ISIC_0034035
HAM_0005992  | 3            | ISIC_0032723, ISIC_0032751, ISIC_0032597
HAM_0002016  | 3            | ISIC_0034273, ISIC_0032805, ISIC_0032753
HAM_0002025  | 3            | ISIC_0025169, ISIC_0028091, ISIC_0028023
HAM_0002030  | 3            | ISIC_0034225, ISIC_0032916, ISIC_0033756
HAM_0005995  | 3            | ISIC_0033331, ISIC_0034192, ISIC_0033689
HAM_0005116  | 3            | ISIC_0034267, ISIC_0033137, ISIC_0032953
HAM_0002040  | 3            | ISIC_0033041, ISIC_0033900, ISIC_0033361
HAM_0005190  | 3            | ISIC_0034203, ISIC_0033311, ISIC_0032700
HAM_0003143  | 3            | ISIC_0033555, ISIC_0033963, ISIC_0033793
HAM_0002235  | 3            | ISIC_0034222, ISIC_0032569, ISIC_0034064
HAM_0005249  | 3            | ISIC_0033166, ISIC_0033320, ISIC_0032526
HAM_0005248  | 3            | ISIC_0032902, ISIC_0032948, ISIC_0034264
HAM_0005762  | 3            | ISIC_0025179, ISIC_0026216, ISIC_0026297
HAM_0003081  | 3            | ISIC_0033808, ISIC_0033847, ISIC_0033860
HAM_0005759  | 3            | ISIC_0033263, ISIC_0033815, ISIC_0034194
HAM_0002363  | 3            | ISIC_0033363, ISIC_0033058, ISIC_0032924
HAM_0002367  | 3            | ISIC_0033150, ISIC_0033698, ISIC_0034240
HAM_0002372  | 3            | ISIC_0034303, ISIC_0034031, ISIC_0033124
HAM_0002342  | 3            | ISIC_0033901, ISIC_0032917, ISIC_0032925
HAM_0003073  | 3            | ISIC_0032836, ISIC_0033444, ISIC_0034183
HAM_0002386  | 3            | ISIC_0033919, ISIC_0033640, ISIC_0033927
HAM_0002391  | 3            | ISIC_0027260, ISIC_0027604, ISIC_0029434
HAM_0005748  | 3            | ISIC_0032812, ISIC_0033619, ISIC_0034065
HAM_0005258  | 3            | ISIC_0033400, ISIC_0033677, ISIC_0033262
HAM_0003046  | 3            | ISIC_0033257, ISIC_0034276, ISIC_0034119
HAM_0002346  | 3            | ISIC_0027365, ISIC_0026343, ISIC_0029341
HAM_0005789  | 3            | ISIC_0028033, ISIC_0032204, ISIC_0032095
HAM_0002243  | 3            | ISIC_0033609, ISIC_0032777, ISIC_0033019
HAM_0005840  | 3            | ISIC_0030773, ISIC_0028692, ISIC_0032260
HAM_0003140  | 3            | ISIC_0027037, ISIC_0030459, ISIC_0029776
HAM_0002253  | 3            | ISIC_0033492, ISIC_0032548, ISIC_0033106
HAM_0003137  | 3            | ISIC_0033233, ISIC_0032770, ISIC_0034184
HAM_0005194  | 3            | ISIC_0034213, ISIC_0032561, ISIC_0033839
HAM_0002271  | 3            | ISIC_0027840, ISIC_0026048, ISIC_0031930
HAM_0003127  | 3            | ISIC_0026272, ISIC_0024658, ISIC_0028957
HAM_0005206  | 3            | ISIC_0032521, ISIC_0032674, ISIC_0033958
HAM_0002327  | 3            | ISIC_0033606, ISIC_0034103, ISIC_0032883
HAM_0002300  | 3            | ISIC_0028360, ISIC_0029861, ISIC_0024366
HAM_0005820  | 3            | ISIC_0033904, ISIC_0033342, ISIC_0033265
HAM_0003113  | 3            | ISIC_0025170, ISIC_0031811, ISIC_0024520
HAM_0003110  | 3            | ISIC_0026473, ISIC_0032114, ISIC_0026789
HAM_0002313  | 3            | ISIC_0024461, ISIC_0030526, ISIC_0025530
HAM_0003097  | 3            | ISIC_0033181, ISIC_0033661, ISIC_0034004
HAM_0003606  | 3            | ISIC_0034288, ISIC_0033420, ISIC_0032661
HAM_0002809  | 3            | ISIC_0026139, ISIC_0027967, ISIC_0024338
HAM_0003614  | 3            | ISIC_0032905, ISIC_0034001, ISIC_0032560
HAM_0000494  | 3            | ISIC_0032745, ISIC_0032557, ISIC_0033092
HAM_0000464  | 3            | ISIC_0027537, ISIC_0027002, ISIC_0026223
HAM_0000468  | 3            | ISIC_0028591, ISIC_0024524, ISIC_0032663
HAM_0004036  | 3            | ISIC_0027727, ISIC_0027107, ISIC_0027648
HAM_0000483  | 3            | ISIC_0034141, ISIC_0033643, ISIC_0032629
HAM_0004581  | 3            | ISIC_0033508, ISIC_0032539, ISIC_0032686
HAM_0000492  | 3            | ISIC_0028445, ISIC_0027076, ISIC_0029859
HAM_0004007  | 3            | ISIC_0031541, ISIC_0027596, ISIC_0028960
HAM_0004043  | 3            | ISIC_0033792, ISIC_0030492, ISIC_0033926
HAM_0004000  | 3            | ISIC_0032762, ISIC_0032594, ISIC_0033147
HAM_0000527  | 3            | ISIC_0032757, ISIC_0032508, ISIC_0034201
HAM_0003993  | 3            | ISIC_0033706, ISIC_0033097, ISIC_0034014
HAM_0000547  | 3            | ISIC_0033510, ISIC_0033222, ISIC_0032546
HAM_0003983  | 3            | ISIC_0033975, ISIC_0033278, ISIC_0033679
HAM_0004615  | 3            | ISIC_0032815, ISIC_0033094, ISIC_0033162
